Player,Squad,Pos,Min,90s,Gls,xG,Ast,xAG,SoT,KP,Attacking_Efficiency,Defensive_Efficiency,Goals_p90,xG_p90,Assists_p90,xAG_p90,SoT_p90,KeyPasses_p90,Goals_Added
Shapi Suleymanov,Sporting Kansas City,AM,245,2.72,0,0.5475,0,0.0,1,0,3.69,34.73,0.0,0.201,0.0,0.0,0.367,0.0,0.018
Luca Moisa,Real Salt Lake,CM,193,2.14,0,0.037,0,0.078,0,2,3.69,30.38,0.0,0.017,0.0,0.036,0.0,0.933,-0.02
DJ Taylor,Minnesota United FC,FB,90,1.0,0,0.0,0,0.0329,0,1,3.66,30.57,0.0,0.0,0.0,0.033,0.0,1.0,-0.035
Pavel Bucha,FC Cincinnati,CM,308,3.42,0,0.116,0,0.0,1,0,3.66,39.36,0.0,0.034,0.0,0.0,0.292,0.0,0.182
Raheem Edwards,Toronto FC,FB,166,1.84,0,0.0281,0,0.0241,0,1,3.66,32.6,0.0,0.015,0.0,0.013,0.0,0.542,0.128
Kai Trewin,New York City FC,DM,217,2.41,0,0.054700000000000006,0,0.050800000000000005,0,1,3.64,40.52,0.0,0.023,0.0,0.021,0.0,0.415,0.159
Conrad Wallem,St. Louis City SC,FB,290,3.22,0,0.11750000000000001,0,0.30860000000000004,0,4,3.63,24.66,0.0,0.036,0.0,0.096,0.0,1.241,-0.189
Tyrese Spicer,Orlando City SC,ST,137,1.52,0,0.2383,0,0.048100000000000004,0,1,3.61,15.6,0.0,0.157,0.0,0.032,0.0,0.657,-0.049
Malte Amundsen,Columbus Crew,CB,304,3.38,0,0.0,0,0.4213,0,2,3.59,35.65,0.0,0.0,0.0,0.125,0.0,0.592,0.055
Noel Caliskan,Real Salt Lake,CM,311,3.46,0,0.0575,0,0.026500000000000003,0,1,3.56,40.86,0.0,0.017,0.0,0.008,0.0,0.289,0.199
Alejandro Bedoya,Philadelphia Union,W,37,0.41,0,0.08,0,0.0,0,0,3.51,39.57,0.0,0.195,0.0,0.0,0.0,0.0,0.15
Roald Mitchell,New York Red Bulls,ST,12,0.13,0,0.050800000000000005,0,0.0,0,0,3.51,37.99,0.0,0.381,0.0,0.0,0.0,0.0,-0.003
Nkosi Tafari,Los Angeles FC,CB,310,3.44,0,0.0,0,0.2447,0,1,3.5,40.84,0.0,0.0,0.0,0.071,0.0,0.29,0.17
Morrison Agyemang,Charlotte FC,CB,158,1.76,0,0.0,0,0.041,0,1,3.47,39.43,0.0,0.0,0.0,0.023,0.0,0.57,0.084
Dániel Gazdag,Columbus Crew,W,78,0.87,0,0.30210000000000004,0,0.0,0,0,3.47,28.13,0.0,0.349,0.0,0.0,0.0,0.0,0.015
